speed,shield_distance,algorithm,timeLoss,lateral_collisions,rear_end_collisions
130,0,trpo,26.58,169,64
130,0,trpo,31.63,139,88
130,0,trpo,34.29,199,75
130,0,trpo,33.51,193,71
130,0,trpo,32.16,196,76
130,0,trpo,28.78,172,77
130,0,trpo,32.24,189,69
130,0,trpo,30.54,182,76
130,0,trpo,30.35,163,85
130,0,trpo,30.1,178,73
130,0,trpo,32.99,192,83
130,0,trpo,27.44,180,68
130,0,trpo,31.34,183,96
130,0,trpo,32.91,159,102
130,0,trpo,33.56,207,70
130,0,trpo,29.34,191,87
130,0,trpo,28.35,174,67
130,0,trpo,27.17,165,54
130,0,trpo,33.84,192,84
130,0,trpo,34.07,187,83
130,0,trpo,35.4,182,75
130,0,trpo,34.14,181,92
130,0,trpo,36.08,186,94
130,0,trpo,30.39,185,90
130,0,trpo,31.7,166,88
130,0,trpo,32.47,198,74
130,0,trpo,26.48,187,59
130,0,trpo,34.41,204,72
130,0,trpo,35.62,174,81
130,0,trpo,32.24,190,90
130,0,trpo,36.55,195,94
130,0,trpo,29.41,184,79
130,0,trpo,38.82,200,78
130,0,trpo,29.39,194,71
130,0,trpo,31.42,184,82
130,0,trpo,34.85,204,90
130,0,trpo,33.87,180,83
130,0,trpo,27.94,178,64
130,0,trpo,34.87,218,93
130,0,trpo,31.25,178,84
130,0,trpo,34.37,212,86
130,0,trpo,37.3,180,92
130,0,trpo,32.76,209,79
130,0,trpo,31.09,160,81
130,0,trpo,29.8,191,65
130,0,trpo,33.35,168,85
130,0,trpo,30.02,161,83
130,0,trpo,34.91,193,81
130,0,trpo,31.75,204,84
130,0,trpo,27.8,153,84
130,0,trpo,31.19,165,77
130,0,trpo,32.37,185,77
130,0,trpo,35.03,183,91
130,0,trpo,31.47,175,91
130,0,trpo,36.97,198,79
130,0,trpo,30.57,170,87
130,0,trpo,31.47,161,82
130,0,trpo,32.67,170,67
130,0,trpo,29.74,167,78
130,0,trpo,35.95,199,74
130,0,trpo,33.39,196,69
130,0,trpo,31.52,177,86
130,0,trpo,32.49,179,93
130,0,trpo,36.6,210,94
130,0,trpo,33.18,203,72
130,0,trpo,35.45,203,82
130,0,trpo,31.42,191,82
130,0,trpo,34.42,171,77
130,0,trpo,27.51,140,75
130,0,trpo,29.57,178,100
130,0,trpo,30.93,177,69
130,0,trpo,32.97,189,88
130,0,trpo,34.42,171,90
130,0,trpo,34.39,197,77
130,0,trpo,30.02,172,68
130,0,trpo,32.39,186,71
130,0,trpo,30.62,178,94
130,0,trpo,30.38,208,86
130,0,trpo,28.63,185,91
130,0,trpo,32.99,158,85
130,0,trpo,32.35,176,91
130,0,trpo,33.53,177,76
130,0,trpo,30.41,177,82
130,0,trpo,30.31,199,76
130,0,trpo,35.44,194,99
130,0,trpo,29.56,172,87
130,0,trpo,30.6,153,61
130,0,trpo,32.45,181,79
130,0,trpo,32.21,186,69
130,0,trpo,30.89,203,76
130,0,trpo,31.39,182,95
130,0,trpo,33.25,184,90
130,0,trpo,29.14,163,95
130,0,trpo,34.16,182,84
130,0,trpo,31.4,179,82
130,0,trpo,31.95,178,70
130,0,trpo,29.53,146,77
130,0,trpo,24.77,176,78
130,0,trpo,31.92,208,71
130,0,trpo,30.65,176,85
130,0,trpo,28.76,196,89
130,0,trpo,33.0,196,70
130,0,trpo,32.33,190,83
130,0,trpo,31.61,191,77
130,0,trpo,31.68,171,95
130,0,trpo,31.62,166,75
130,0,trpo,29.42,167,84
130,0,trpo,31.88,183,75
130,0,trpo,35.16,198,80
130,0,trpo,30.09,187,67
130,0,trpo,26.67,161,74
130,0,trpo,32.16,151,82
130,0,trpo,26.16,164,72
130,0,trpo,36.31,177,93
130,0,trpo,34.89,190,96
130,0,trpo,29.1,217,74
130,0,trpo,27.27,157,76
130,0,trpo,31.49,174,100
130,0,trpo,33.45,186,87
130,0,trpo,35.59,167,88
130,0,trpo,28.52,184,76
130,0,trpo,35.86,171,93
130,0,trpo,35.72,186,88
130,0,trpo,34.32,205,91
130,0,trpo,30.14,167,86
130,0,trpo,31.69,184,68
130,0,trpo,36.71,191,85
130,0,trpo,29.06,166,76
130,0,trpo,35.3,197,82
130,0,trpo,30.21,158,91
130,0,trpo,31.04,183,76
130,0,trpo,32.23,186,88
130,0,trpo,31.45,184,76
130,0,trpo,30.29,177,76
130,0,trpo,30.96,177,63
130,0,trpo,35.37,168,91
130,0,trpo,34.71,188,85
130,0,trpo,34.79,179,82
130,0,trpo,27.45,163,83
130,0,trpo,37.22,201,83
130,0,trpo,31.76,152,84
130,0,trpo,36.6,180,84
130,0,trpo,29.91,169,84
130,0,trpo,31.09,168,67
130,0,trpo,32.25,206,83
130,0,trpo,34.28,186,86
130,0,trpo,33.87,217,87
130,0,trpo,31.4,170,102
130,0,trpo,33.17,172,81
130,0,trpo,36.25,198,84
130,0,trpo,31.06,158,77
130,0,trpo,33.65,192,81
130,0,trpo,32.39,172,79
130,0,trpo,34.96,182,67
130,0,trpo,32.29,176,73
130,0,trpo,32.09,187,81
130,0,trpo,30.93,189,66
130,0,trpo,32.1,190,71
130,0,trpo,34.84,191,92
130,0,trpo,28.36,191,70
130,0,trpo,33.94,162,89
130,0,trpo,28.93,171,72
130,0,trpo,28.07,166,85
130,0,trpo,32.53,191,83
130,0,trpo,32.64,170,76
130,0,trpo,33.33,173,77
130,0,trpo,32.64,200,77
130,0,trpo,27.81,184,63
130,0,trpo,35.43,192,92
130,0,trpo,32.33,165,71
130,0,trpo,33.88,203,75
130,0,trpo,32.86,180,78
130,0,trpo,31.68,176,73
130,0,trpo,33.89,194,93
130,0,trpo,33.57,184,85
130,0,trpo,27.87,180,75
130,0,trpo,31.27,187,63
130,0,trpo,34.36,211,78
130,0,trpo,32.11,180,81
130,0,trpo,31.5,194,98
130,0,trpo,35.61,174,87
130,0,trpo,30.46,167,99
130,0,trpo,32.02,170,87
130,0,trpo,30.9,165,82
130,0,trpo,35.3,205,90
130,0,trpo,32.36,206,74
130,0,trpo,30.21,172,101
130,0,trpo,30.82,169,71
130,0,trpo,32.03,198,81
130,0,trpo,31.92,183,74
130,0,trpo,29.15,186,76
130,0,trpo,31.59,173,80
130,0,trpo,33.27,167,61
130,0,trpo,28.74,199,84
130,0,trpo,34.42,208,85
130,0,trpo,29.21,180,75
130,0,trpo,29.65,183,71
130,0,trpo,30.92,175,77
130,0,trpo,28.0,178,79
130,0,trpo,32.26,179,80
130,0,trpo,29.78,168,79
130,0,trpo,28.98,171,76
130,0,trpo,34.05,181,70
130,0,trpo,34.21,175,84
130,0,trpo,27.82,163,82
130,0,trpo,35.99,201,92
130,0,trpo,29.56,176,71
130,0,trpo,35.2,195,78
130,0,trpo,29.16,180,75
130,0,trpo,31.77,171,80
130,0,trpo,30.35,189,92
130,0,trpo,31.89,183,76
130,0,trpo,31.06,180,73
130,0,trpo,35.33,202,91
130,0,trpo,29.24,193,89
130,0,trpo,28.99,162,93
130,0,trpo,30.68,170,89
130,0,trpo,32.42,176,68
130,0,trpo,37.88,211,71
130,0,trpo,35.49,185,91
130,0,trpo,34.2,220,90
130,0,trpo,34.36,197,82
130,0,trpo,29.05,168,79
130,0,trpo,33.2,198,75
130,0,trpo,27.51,172,93
130,0,trpo,30.1,172,77
130,0,trpo,36.28,197,96
130,0,trpo,34.95,195,105
130,0,trpo,29.26,188,80
130,0,trpo,31.34,177,82
130,0,trpo,34.24,174,76
130,0,trpo,36.38,196,66
130,0,trpo,33.63,184,66
130,0,trpo,33.34,191,71
130,0,trpo,34.25,177,98
130,0,trpo,31.16,184,74
130,0,trpo,30.48,174,60
130,0,trpo,30.37,189,96
130,0,trpo,33.02,181,80
130,0,trpo,33.82,187,77
130,0,trpo,31.82,180,76
130,0,trpo,31.44,203,61
130,0,trpo,36.01,200,88
