step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,4.358004100376275,0,0.0,0.36040915397554185,0,0.0,False,,
10.0,0,0.0,0.0,11.638991878017814,0,0.0,0.9592651356415507,0,0.0,False,,
15.0,0,0.0,0.0,9.78110711077789,0,0.0,0.7800486992962959,0,0.0,False,,
20.0,1,0.0,0.0,5.8880697696690065,1,0.0,0.45712176410373634,1,0.0,False,,
25.0,0,0.0,0.0,6.737132143711329,0,0.0,0.4930775570540563,0,0.0,False,,
30.0,1,4.0,0.4444444444444444,10.395177925608692,1,4.0,0.7064968351899015,1,4.0,False,,
35.0,0,0.0,0.0,11.273529783309906,0,0.0,0.8518755696073672,0,0.0,False,,
40.0,1,1.0,0.1111111111111111,7.27527830978879,1,1.0,0.34013254957674055,1,1.0,False,,
45.0,1,0.0,0.0,7.45867394961483,1,4.0,0.30992362330451395,1,4.0,False,,
50.0,1,2.0,0.2222222222222222,9.358652009508477,1,2.0,0.2553689410871934,1,2.0,False,,
55.0,0,0.0,0.0,9.762487595722718,0,0.0,0.5343626399949666,0,0.0,False,,
60.0,1,0.0,0.0,10.908295161851662,1,0.0,0.676910887487043,1,0.0,False,,
65.0,0,0.0,0.0,9.577771214272392,0,0.0,0.656373206803851,0,0.0,False,,
70.0,0,0.0,0.0,10.740262256510738,0,0.0,0.9421827875241091,0,0.0,False,,
75.0,1,1.0,0.125,8.160082379916362,1,1.0,0.47318419877324197,1,1.0,False,,
80.0,0,0.0,0.0,11.547187616842656,0,0.0,0.8683251052488821,0,0.0,False,,
85.0,0,0.0,0.0,9.675250353336562,0,0.0,0.6212320764872062,0,0.0,False,,
90.0,0,0.0,0.0,11.448908498831244,0,0.0,0.7544862386496534,0,0.0,False,,
95.0,2,1.0,0.09090909090909091,8.619519976237084,2,1.0,0.5124822826439686,2,1.0,False,,
100.0,0,0.0,0.0,9.506256122799092,0,0.0,0.649818226315886,0,0.0,False,,
105.0,2,3.0,0.25,9.555451226463228,2,3.0,0.5264241815120663,2,3.0,False,,
110.0,1,0.0,0.0,10.43405173453794,1,0.0,0.6843094512123734,1,0.0,False,,
115.0,0,0.0,0.0,9.044108307869184,0,0.0,0.5294151811616675,0,0.0,False,,
120.0,1,1.0,0.06666666666666667,8.93466877198012,1,1.0,0.5784068573647503,1,1.0,False,,
125.0,0,0.0,0.0,9.810893477010314,0,1.0,0.6726636758832166,0,1.0,False,,
130.0,0,0.0,0.0,10.511797062512985,0,1.0,0.7690030781877976,0,1.0,False,,
135.0,0,0.0,0.0,11.765577516745788,0,1.0,0.8212517633932006,0,1.0,False,,
140.0,2,1.0,0.07692307692307693,8.063044569177919,2,1.0,0.36611711054283835,2,1.0,False,,
145.0,2,9.0,0.8181818181818182,8.124573207992732,2,9.0,0.275483209712856,2,9.0,False,,
150.0,2,4.0,0.4,7.559625282877027,2,10.0,0.2936154180860979,2,10.0,False,,
155.0,1,9.0,0.75,7.42757802642556,1,9.0,0.3076235516346986,1,9.0,False,,
160.0,1,0.0,0.0,7.515972932549239,1,0.0,0.44695457160841257,1,0.0,False,,
165.0,1,0.0,0.0,9.909386677635766,1,0.0,0.6498631488236377,1,0.0,False,,
170.0,1,0.0,0.0,11.414647965187406,1,0.0,0.8148173624223328,1,0.0,False,,
175.0,2,2.0,0.15384615384615385,9.560101426319664,2,2.0,0.6562593359389353,2,2.0,False,,
180.0,2,8.0,0.5333333333333333,8.510594765404795,2,8.0,0.5040898004141463,2,8.0,False,,
185.0,1,3.0,0.1875,8.993859054082309,1,7.0,0.5854625675909397,1,7.0,False,,
190.0,3,15.0,0.9375,8.511962290816342,3,15.0,0.5294869102963712,3,15.0,False,,
195.0,0,0.0,0.0,8.1397331944297,0,14.0,0.6023846971142677,0,14.0,False,,
200.0,3,4.0,0.23529411764705882,6.4746819893666405,3,5.0,0.4532819718517255,3,5.0,False,,
205.0,1,1.0,0.0625,8.621038715663573,0,5.0,0.6417826099467774,0,5.0,False,,
210.0,3,6.0,0.3157894736842105,8.01870210040318,3,7.0,0.483939567888011,3,7.0,False,,
215.0,1,3.0,0.15789473684210525,8.566171542780891,1,8.0,0.5359728533396593,1,8.0,False,,
220.0,3,16.0,0.7272727272727273,8.10843892236432,3,17.0,0.438292445536098,3,17.0,False,,
225.0,2,6.0,0.2857142857142857,8.06627619084692,2,22.0,0.48267371709282686,2,22.0,False,,
230.0,1,2.0,0.1111111111111111,9.060952872084625,1,10.0,0.6276890146437383,1,10.0,False,,
235.0,0,0.0,0.0,8.73426092148388,0,3.0,0.5552587060903028,0,3.0,False,,
240.0,2,8.0,0.47058823529411764,7.34695591433299,2,10.0,0.3418198761971877,2,10.0,False,,
245.0,2,3.0,0.17647058823529413,7.371399526976144,2,9.0,0.3255219219547831,2,9.0,False,,
250.0,3,13.0,0.8125,7.734249276786683,3,13.0,0.3752506891411864,3,13.0,False,,
255.0,1,2.0,0.13333333333333333,9.395644883810855,1,11.0,0.5820315491392087,1,11.0,False,,
260.0,2,7.0,0.4375,9.385154543574107,2,7.0,0.5217821902148391,2,7.0,False,,
265.0,1,4.0,0.3333333333333333,9.541452280092235,1,5.0,0.6325791820616767,1,5.0,False,,
270.0,3,11.0,0.7333333333333333,7.606815205081193,3,11.0,0.4000300755682934,3,11.0,False,,
275.0,0,0.0,0.0,9.99437602164188,0,5.0,0.640642220690198,0,5.0,False,,
280.0,1,4.0,0.26666666666666666,10.046301645107343,1,4.0,0.5914607593701771,1,4.0,False,,
285.0,1,0.0,0.0,9.029335360301292,1,1.0,0.5090009586677078,1,1.0,False,,
290.0,2,4.0,0.2857142857142857,11.033396420214908,2,5.0,0.6451859878488408,2,5.0,False,,
295.0,0,0.0,0.0,10.37812446757016,0,5.0,0.6432430273630346,0,5.0,False,,
300.0,1,2.0,0.16666666666666666,8.580869225735785,1,2.0,0.4452540475551504,1,2.0,False,,
305.0,1,0.0,0.0,9.541344433881946,1,0.0,0.45628286648438354,1,0.0,False,,
310.0,0,0.0,0.0,12.545374333355621,0,0.0,0.796864466988304,0,0.0,False,,
315.0,0,0.0,0.0,11.570513772811069,0,0.0,0.7083513093190273,0,0.0,False,,
320.0,1,0.0,0.0,10.260160915649305,1,0.0,0.6825027955609594,1,0.0,False,,
325.0,1,0.0,0.0,9.85281475574557,1,0.0,0.6184114429853733,1,0.0,False,,
330.0,3,3.0,0.3333333333333333,8.664560779621107,3,3.0,0.5180509961574432,3,3.0,False,,
335.0,0,0.0,0.0,8.909575880014218,0,4.0,0.6099462550977311,0,4.0,False,,
340.0,2,2.0,0.25,9.62864265982737,2,2.0,0.48276489011842755,2,2.0,False,,
345.0,0,0.0,0.0,9.090649185948614,0,0.0,0.5145395535140165,0,0.0,False,,
350.0,1,4.0,0.4444444444444444,10.738868615741191,1,4.0,0.66048842434023,1,4.0,False,,
355.0,0,0.0,0.0,10.164521710282752,0,0.0,0.6924971448823976,0,0.0,False,,
360.0,1,0.0,0.0,8.91971760360076,1,1.0,0.4871795631811518,1,1.0,False,,
365.0,2,0.0,0.0,7.481559829485966,2,1.0,0.4537581380481169,2,1.0,False,,
370.0,0,0.0,0.0,11.032977694315095,0,1.0,0.7253300819032031,0,1.0,False,,
375.0,0,0.0,0.0,10.09286513718385,0,1.0,0.6776009679245987,0,1.0,False,,
380.0,0,0.0,0.0,12.160049072475568,0,1.0,0.8122424967657617,0,1.0,False,,
385.0,1,1.0,0.09090909090909091,9.0916433024029,1,2.0,0.47397872103350913,1,2.0,False,,
390.0,2,11.0,0.8461538461538461,7.608491376848405,2,12.0,0.27899974208795664,2,12.0,False,,
395.0,0,0.0,0.0,8.120184260622093,0,10.0,0.3594277815240626,0,10.0,False,,
400.0,1,0.0,0.0,10.553228611509649,1,1.0,0.6396508152168604,1,1.0,False,,
405.0,0,0.0,0.0,12.077320378448325,0,1.0,0.7809511146264837,0,1.0,False,,
410.0,1,3.0,0.3,11.075850447228756,1,4.0,0.6423113863315231,1,4.0,False,,
415.0,1,1.0,0.09090909090909091,6.61093876499929,1,5.0,0.3099658836151753,1,5.0,False,,
420.0,1,6.0,0.5,9.198915937513895,1,6.0,0.5166647155975927,1,6.0,False,,
425.0,1,3.0,0.21428571428571427,9.448295038200609,1,3.0,0.6022253973290064,1,3.0,False,,
430.0,1,8.0,0.5714285714285714,10.739328593255928,1,8.0,0.7118019467872644,1,8.0,False,,
435.0,0,0.0,0.0,10.789264615567859,0,0.0,0.8095968886634558,0,0.0,False,,
440.0,2,4.0,0.3333333333333333,7.989854661334924,2,4.0,0.43455381632921036,2,4.0,False,,
445.0,1,2.0,0.16666666666666666,9.350755853298592,1,3.0,0.6121893494676434,1,3.0,False,,
450.0,1,7.0,0.5833333333333334,10.489252604168453,1,7.0,0.593482635903054,1,7.0,False,,
455.0,1,0.0,0.0,9.194993768558819,1,0.0,0.6422499624265404,1,0.0,False,,
460.0,0,0.0,0.0,8.818018745553363,0,0.0,0.5321456650651195,0,0.0,False,,
465.0,0,0.0,0.0,11.671339425416077,0,0.0,0.8575005389139214,0,0.0,False,,
470.0,0,0.0,0.0,10.69496343605199,0,0.0,0.7431665322168286,0,0.0,False,,
475.0,2,1.0,0.08333333333333333,6.02270185202748,2,1.0,0.42806507546086275,2,1.0,False,,
480.0,3,9.0,0.6923076923076923,6.065125146568975,3,9.0,0.31880684322300573,3,9.0,False,,
485.0,3,19.0,1.3571428571428572,8.692431648134987,3,19.0,0.54319854271546,3,19.0,False,,
490.0,0,0.0,0.0,10.535845697368643,0,11.0,0.7732023552000163,0,11.0,False,,
495.0,1,2.0,0.16666666666666666,10.59894959813353,1,2.0,0.6342743927920109,1,2.0,False,,
500.0,0,0.0,0.0,8.14545281085471,0,1.0,0.3469013830733848,0,1.0,False,,
